A,B,C
-0.66,0.92,1
0.37,-0.43,-1
0.76,-0.21,1
-0.17,-0.37,-1
-0.15,-0.51,-1
-0.52,-0.59,-1
-0.56,-0.84,-1
-0.49,0.07,1
0.42,0.97,1
0.74,0.56,1
-0.58,0.01,1
-0.96,0.78,1
0.54,-0.95,-1
-0.83,-0.93,-1
-0.28,0.01,1
0.77,-0.04,1
-0.48,0.04,1
-0.73,-0.69,-1
0.36,0.62,1
0.63,0.5,1
0.76,0.11,1
0.22,-0.92,-1
0.52,0.91,1
0.13,-1,-1
0.45,-0.34,-1
-0.66,0.14,1
0.04,0.05,1
0.9,0,1
0.45,0.14,1
0.12,-0.64,-1
-0.35,0.4,1
-0.52,0.68,1
-0.83,-0.62,1
0.41,-0.94,-1
-0.62,-0.57,-1
0.22,0.09,1
-0.39,-0.87,-1
-0.3,0.32,1
0.03,-0.91,-1
0.09,0.52,1
0.14,0.05,1
-0.78,-0.45,1
0.92,-0.92,1
-0.59,0.65,1
0.99,0.64,1
-0.35,-0.29,-1
-0.69,0.95,1
-0.42,-0.37,-1
-0.14,0.12,1
-0.09,0.3,1
-0.16,0.16,1
0.71,-0.59,-1
0.4,-0.32,-1
0.27,-0.63,-1
0.93,-0.99,-1
-0.35,-0.45,-1
0.83,0.56,1
0.08,0.34,1
-0.69,0.38,1
-0.91,-0.81,1
-0.29,-0.93,-1
-0.24,-0.11,-1
-0.66,-0.22,1
0.99,-0.99,-1
0.58,-0.31,1
0.81,0.08,1
0.5,-0.27,-1
-0.12,-0.62,-1
-0.87,-0.21,1
-0.28,-0.22,-1
-0.56,-0.28,1
0.78,-0.18,1
0.81,0.35,1
-0.63,0.32,1
0.77,-0.88,-1
0.64,-0.3,1
-0.09,-0.38,-1
-0.9,0.28,1
0.68,-0.02,1
-0.39,-0.35,-1
-0.45,-0.3,-1
0.32,-0.92,-1
1,-0.67,1
-0.62,0.27,1
0.95,-0.07,1
-0.09,0.94,1
-0.91,0.24,1
0.1,-0.77,-1
0.45,0.7,1
-0.71,-0.9,-1
-0.93,0.64,1
-0.45,0.79,1
-0.04,-0.44,-1
-0.5,0.84,1
-0.56,-0.67,-1
0.17,-0.23,-1
0.22,-0.71,-1
-0.53,0.87,1
-0.95,0.34,1
0.26,0.64,1
-0.37,0.23,1
-0.31,-0.75,-1
0.24,-0.28,-1
0,-0.54,-1
-0.01,-0.27,-1
-0.7,-0.68,-1
-0.56,0.37,1
-0.74,-0.13,1
-0.98,0.29,1
0.8,-0.5,1
0.94,-0.54,1
-0.79,0.46,1
-0.42,0.45,1
-0.06,0.74,1
0.92,-0.33,1
-0.53,-0.37,1
-0.18,-0.89,-1
-0.17,0.46,1
-0.9,0.37,1
-0.83,-0.34,1
0.97,-0.24,1
0.36,0.36,1
0.25,-0.11,-1
0.83,0.14,1
-0.93,0.14,1
-0.65,0.6,1
1,-0.34,1
-0.31,-0.21,-1
-0.9,0.15,1
0.17,0.47,1
-0.59,0.28,1
-0.09,-0.18,-1
0.79,-0.63,-1
0.57,0.32,1
-0.43,-0.91,-1
-0.59,-0.85,-1
0.54,0.58,1
0.84,-0.9,-1
-0.79,-0.66,1
0.97,0.65,1
-0.76,-0.57,-1
-0.62,0.91,1
-0.76,0.07,1
-0.95,-0.67,1
0.16,-0.42,-1
-0.29,0.39,1
-0.31,-0.33,-1
0.75,0.27,1
-0.61,-0.85,-1
-0.89,-0.99,-1
0.69,0.36,1
0.64,0.74,1
0.82,-0.2,1
0.86,-0.24,1
-0.29,-0.82,-1
0.9,0.5,1
0.37,0.04,1
0.17,-0.03,1
0.99,-0.5,1
-0.96,-0.1,1
-0.6,0.4,1
-0.33,-0.55,-1
0.08,-0.5,-1
0.8,0.72,1
-0.23,-0.28,-1
0.05,0.89,1
-0.31,-0.6,-1
0.42,-0.6,-1
0.83,0.57,1
-0.47,0.76,1
0.76,-0.93,-1
0.24,0.21,1
0.93,0.52,1
-0.67,0.74,1
0.64,-0.46,-1
0.81,0.3,1
-0.26,0.48,1
0.93,0.1,1
0.24,0.37,1
0.68,0.7,1
-0.61,0.31,1
0.47,0,1
0.44,0.87,1
-0.01,-0.15,-1
-0.46,-0.24,1
0.1,0.82,1
-0.36,0.17,1
0.26,-0.36,-1
0.31,0.2,1
0.76,-0.37,1
-0.19,0.44,1
-0.16,-0.71,-1
0.5,-0.55,-1
-0.42,-0.1,-1
0.01,-0.31,-1
-0.56,-0.37,1
0.37,0.76,1
-0.01,0.94,1
-0.58,0.68,1
-0.4,0.07,1
0.7,0.94,1
-0.45,1,1
-0.82,-0.52,1
0.7,-0.89,-1
-0.96,-0.72,1
-0.92,-0.04,1
-0.8,0.54,1
-0.99,0.24,1
0.32,-0.72,-1
-0.15,-0.32,-1
-0.21,0.66,1
0.23,-0.38,-1
0.66,0.14,1
0.95,-0.3,1
0.76,0.98,1
0.97,-0.73,1
-0.48,0.26,1
0.66,-0.33,1
-0.88,0.75,1
-0.06,-0.73,-1
-0.47,0.13,1
0.09,0.54,1
0.71,-0.72,-1
-0.53,-0.04,1
1,0.17,1
0.61,-0.23,1
0.1,0.48,1
0.89,0.59,1
0.13,-0.67,-1
-0.32,0.48,1
-0.19,-0.62,-1
0.95,0.11,1
-0.38,-0.38,-1
-0.61,-0.28,-1
0.73,-0.49,1
0.36,-0.09,-1
-0.22,-0.81,-1
-0.16,0.64,1
-0.75,0.69,1
-0.8,0.76,1
0.13,0.77,1
-0.95,-0.55,1
-0.4,0.91,1
-0.62,-0.71,-1
0.9,-0.39,1
0.4,-0.09,-1
0.01,0.87,1
0.76,-0.1,1
0.88,0.06,1
-0.63,-0.78,-1
0.01,0.18,1
0.04,-0.81,-1
0.63,0.43,1
0.91,-0.14,1
0.16,-0.38,-1
-0.65,-0.94,-1
-0.41,0.61,1
0.49,-0.31,-1
-0.27,-0.37,-1
0.16,-0.13,-1
0.92,-0.9,-1
-0.63,0.07,1
-0.95,-0.07,1
0.71,0.31,1
-0.15,-0.57,-1
0.91,-0.08,1
0.25,0.94,1
-0.32,0.65,1
-0.93,-0.3,1
0.01,-0.09,1
-0.46,0.14,1
0.49,-0.65,-1
-0.88,-0.21,1
0.57,0.84,1
-0.45,0.79,1
-0.14,0.11,1
0.93,-0.3,1
0.83,0.8,1
-0.15,-0.16,-1
-0.08,0.45,1
-0.48,0.42,1
0.79,0.8,1
-0.08,-0.73,-1
0.64,-0.26,1
-0.75,-0.15,1
-0.77,-0.59,1
0.62,0.59,1
-0.19,-0.06,-1
-0.64,-1,-1
0.97,0.1,1
-0.6,0.03,1
0.13,0.56,1
0.42,0.75,1
-0.27,-0.32,-1
0.69,-0.62,-1
0.93,-0.67,1
-0.01,0.78,1
0.11,-0.83,-1
-0.77,-0.21,1
0.17,0.21,1
-0.26,0.41,1
0.11,0.55,1
-0.58,0.64,1
-0.17,-0.28,-1
1,0.94,1
-0.74,0.9,1
-0.12,-0.75,-1
-0.7,-0.53,1
0.37,-0.43,-1
0.05,-0.33,-1
0.53,0.11,1
0.2,0.93,1
-0.76,-0.54,1
-0.56,-0.74,-1
-0.4,-0.29,-1
0.17,-0.76,-1
-0.87,1,1
0.15,0.77,1
0.47,0.94,1
-0.3,0.23,1
-0.18,-0.22,-1
0.1,0.23,1
-0.93,0.09,1
-0.21,-0.37,-1
0.61,-0.18,1
-0.3,0.78,1
0.62,-0.29,1
-0.38,-0.21,-1
0.99,0.52,1
-0.88,-0.2,1
-0.89,0.01,1
-0.31,-0.21,-1
-0.91,0,1
0.73,-0.45,-1
-0.43,0.48,1
0.59,-0.15,1
0.24,0.42,1
-0.8,-0.32,1
-0.36,-0.77,-1
-1,0.81,1
-0.81,0.94,1
0.47,-0.13,1
0.89,0.84,1
0.65,-0.98,-1
0.09,-0.62,-1
0.35,-0.37,-1
-0.17,-0.9,-1
0.52,-0.19,1
0.92,0.35,1
0.45,-0.41,-1
-0.31,-0.93,-1
-0.1,0.57,1
-0.84,0.48,1
-0.06,0.39,1
0.65,0.52,1
0.02,-0.1,-1
-0.77,-0.86,-1
-0.63,0.74,1
-0.32,0.8,1
0.59,-0.23,1
0.91,-0.19,1
-0.98,0.57,1
0.56,-0.55,-1
0.43,-0.8,-1
0.54,-0.87,-1
-0.12,-0.73,-1
0.41,-0.35,-1
0.82,0.57,1
0.24,-0.03,-1
0.1,0.39,1
0.81,0.65,1
0.04,-0.56,-1
-0.73,0.67,1
0.02,0.78,1
-0.75,-0.22,1
-0.72,0.9,1
-0.25,0.26,1
0.53,-0.62,-1
-0.07,-0.69,-1
-0.88,-0.87,-1
-0.33,0.81,1
0.88,-0.2,1
-0.31,-0.14,-1
-0.76,-0.45,1
0.03,-0.71,-1
0.63,0.74,1
-0.7,0.31,1
0.31,-0.94,-1
0.69,-0.8,-1
0.36,-0.23,-1
0.47,0.5,1
-0.77,0.55,1
0.67,0.95,1
0.54,-0.73,-1
0.13,0.68,1
-0.2,0.72,1
-0.98,-0.49,1
0.86,-0.35,1
0.77,0.46,1
0.1,0.77,1
0.86,-0.97,-1
-0.28,0.37,1
-1,-0.64,1
-1,-0.64,1
0.49,0.99,1
0.64,-0.86,-1
0.04,0.45,1
-0.67,-0.89,-1
-0.28,0.85,1
0.19,-0.45,-1
0.98,-0.88,-1
0.32,0.83,1
-0.9,-0.47,1
0.74,0.69,1
0.68,0.03,1
0.81,-0.29,1
0.37,-0.56,-1
-0.96,0.92,1
0.67,-0.15,1
-0.17,-0.18,-1
-0.18,0.27,1
-0.94,0.14,1
0.59,-0.57,-1
0.78,-0.31,1
0.57,0.73,1
-0.46,-0.01,1
-0.04,0.18,1
0,0.91,1
-0.04,-0.21,-1
-0.01,0.16,1
0.38,-0.52,-1
0.95,-0.01,1
-0.4,0.71,1
-0.44,0.73,1
0.86,0.33,1
0.62,-0.72,-1
-0.48,-0.37,-1
-0.36,-0.9,-1
-0.78,0.05,1
-0.54,0.07,1
0.8,-0.25,1
-0.11,-0.02,1
0.43,-0.2,-1
-0.71,0.14,1
-0.79,-0.69,-1
0.57,-0.7,-1
0.33,0.22,1
-0.25,-0.18,-1
0.15,-0.01,-1
-0.9,0.19,1
-0.04,-0.5,-1
0.46,0,1
0.01,0.13,1
0.23,-0.26,-1
0.39,0.67,1
1,0.23,1
0.74,0.29,1
-0.22,-0.36,-1
0,0.41,1
0.2,-0.36,-1
-0.12,0.12,1
0.97,-0.04,1
-0.26,-0.85,-1
0.11,0.95,1
0.4,0.54,1
-0.17,-0.93,-1
0.92,0.25,1
-0.83,0.14,1
0.72,0.33,1
-0.46,0.73,1
-0.06,0.21,1
-0.92,0.56,1
-0.61,-0.09,1
0.81,-0.59,1
0.69,-0.16,1
-0.67,-0.21,1
-0.45,-0.28,1
-0.12,-0.12,-1
-0.09,0.17,1
0.67,-0.54,-1
-0.16,-0.02,1
0.48,0.33,1
0.84,-0.37,1
0.28,-0.01,1
0.19,-0.03,1
0.5,-0.15,1
0.41,0.79,1
-0.25,-0.98,-1
-0.14,-0.13,-1
0.09,-0.45,-1
-0.9,-0.89,1
-0.23,-0.1,1
-0.4,-0.9,-1
0.03,-0.76,-1
-0.86,0.61,1
0.55,-0.63,-1
0.11,-0.91,-1
0.87,0.54,1
-0.21,0.43,1
-0.36,-0.86,-1
0.12,-0.61,-1
-0.73,0.83,1
0.85,-0.63,1
-0.82,-0.31,1
-0.46,-0.41,-1
0.96,0.08,1
0.81,-0.25,1
0.31,-0.96,-1
-0.78,0.79,1
-0.68,0.52,1
0.37,-0.31,-1
0.29,0.33,1
-0.96,0.69,1
-0.86,-0.76,-1
0.73,0.88,1
0.85,-0.4,1
-0.43,-0.45,-1
-0.93,-0.36,1
0.42,0.84,1
-0.09,-0.29,-1
-0.04,0.99,1
1,0.88,1
-0.26,-0.02,-1
0.7,-0.03,1
0.6,-0.17,1
0.11,-1,-1
-0.31,0.34,1
0.06,-0.78,-1
-0.57,0.57,1
0.77,-0.5,-1
0.09,0.42,1
-0.35,-0.27,-1
0.46,0.3,1
-0.38,0.21,1
-0.1,-0.89,-1
-0.69,0.14,1
-0.65,-0.49,-1
0.63,-0.46,-1
-0.65,-0.01,1
0.01,-0.15,-1
0.2,0.13,1
-0.41,0.79,1
0.4,-0.11,1
-0.19,0.72,1
0.54,0.39,1
0.05,0.58,1
0.46,0.56,1
0.34,0.98,1
0.52,0.29,1
0.96,-0.16,1
-0.28,0.01,-1
-0.61,-0.35,1
-0.55,-0.19,1
-0.42,0.72,1
-0.8,0.86,1
0.36,-0.17,-1
-0.47,0.93,1
-0.12,-0.71,-1
-0.09,0.11,1
0.66,-0.35,1
-0.17,-0.1,-1
-0.38,0.75,1
-0.91,0.55,1
0,0.94,1
-0.57,-0.29,1
-0.71,0.25,1
-0.47,-0.04,1
-0.62,0.03,1
-0.83,-0.88,-1
0.78,-0.84,-1
0.82,-0.47,1
-0.85,0.53,1
0.58,0.53,1
-0.48,0.78,1
-0.27,0.02,-1
-0.19,0.43,1
0,-0.08,1
0.31,-0.12,1
0.78,-0.23,1
-0.71,-0.01,1
-0.55,0.59,1
-0.31,-0.76,-1
-0.44,-0.98,-1
-0.8,0.14,1
0.48,-0.83,-1
0.85,0.73,1
0.97,-0.45,1
-0.53,-0.15,1
-0.11,0.39,1
0.71,-0.14,1
0.76,0.61,1
0.74,-0.22,1
-0.1,0.17,1
0.04,-0.43,-1
0.86,0.49,1
0.23,-0.14,1
0.07,-0.99,-1
0.58,-0.82,-1
-0.38,0.58,1
0.07,-0.54,-1
0.03,-0.87,-1
0.33,-0.57,-1
0.09,-0.34,-1
0.63,0.7,1
0.08,0.98,1
0.65,-0.22,1
-0.46,0.11,1
-0.07,-0.72,-1
-0.97,-0.79,1
-0.16,-0.52,-1
-0.52,0.29,1
0.93,0.77,1
-0.38,0.86,1
0.11,-0.82,-1
0.25,-0.98,-1
0.67,0.51,1
0.2,-0.97,-1
-0.87,0.57,1
0.32,0.5,1
0.85,0.87,1
-0.14,0.89,1
0.43,0.09,1
0.29,-0.8,-1
0.07,0.38,1
0.07,-0.28,-1
-0.23,0.47,1
0.34,0.85,1
0.81,-0.17,1
-0.68,-0.32,1
0.79,0.47,1
0.17,0.92,1
-0.77,0.3,1
0.04,0.81,1
-0.31,-0.5,-1
-0.07,0.9,1
-0.38,0.78,1
-0.79,-0.47,1
0.82,0.91,1
-0.26,0.49,1
-0.73,-0.04,1
-0.66,-0.53,-1
0.64,0.19,1
0.43,0.21,1
0.71,0.16,1
-0.1,-0.16,-1
-0.49,-0.62,-1
0.07,0.19,1
0.22,-0.49,-1
0.77,0.91,1
-0.18,0.49,1
-0.78,-0.26,1
0.42,0.76,1
-0.14,-0.21,-1
0.05,0.84,1
-0.3,0.39,1
-0.04,0.02,1
-0.6,0.53,1
0.7,-0.18,1
-0.16,-0.72,-1
0.24,-0.56,-1
0.17,0.77,1
-0.94,-0.55,1
-0.49,-0.59,-1
0.57,-0.83,-1
0.29,-0.68,-1
-0.83,0.17,1
-0.72,-0.67,-1
-0.84,-0.36,1
-0.68,-0.87,-1
-0.2,0.72,1
-0.11,0.85,1
-0.16,0.01,-1
-0.98,0.86,1
-0.3,0.08,1
-0.76,0.45,1
0.78,0.6,1
0.58,-0.65,-1
-0.43,0.04,1
-0.29,0.5,1
0.27,0.31,1
-0.85,-0.5,1
0.82,0.29,1
0.02,0,1
-0.29,0.83,1
0.92,0.17,1
-0.15,-0.01,1
-0.87,0.44,1
0.01,0.97,1
-0.31,0.61,1
-0.9,0.19,1
-0.53,-0.12,1
-0.65,-0.34,1
0.43,0.67,1
-0.31,0.61,1
0.01,0.75,1
-0.07,0.28,1
-0.57,-0.91,-1
0.05,0.13,1
0.44,-0.5,-1
0.72,-0.06,1
-0.91,0.68,1
0.54,0.94,1
-0.72,-0.4,1
0.77,-0.64,-1
0.92,0.68,1
-0.31,-0.26,-1
-0.39,0.73,1
0.88,0.79,1
0.1,-0.84,-1
0.92,-0.9,1
-0.94,0.44,1
0.02,0.84,1
-0.16,0.16,1
-0.85,0.43,1
0.95,-0.76,1
0.61,-0.1,1
0.65,-0.2,1
0.38,0.33,1
0.32,-0.51,-1
0.71,0.75,1
0.52,0.18,1
0.14,-0.69,-1
-0.9,-0.16,1
-0.76,0.08,1
-0.66,0.47,1
-0.75,0.21,1
0.25,-0.55,-1
-0.78,-0.42,1
-0.09,0.47,1
0.09,-0.45,-1
0.56,-0.26,-1
-0.01,0.08,1
-0.87,-0.42,1
0.92,-0.67,1
-0.44,0.21,1
-0.17,0.72,1
0.5,0.31,1
-0.71,0.87,1
0.81,-0.88,-1
-0.33,0.29,1
-0.49,-0.99,-1
-0.32,0.75,1
0.44,0.13,1
-0.72,-1,-1
0.14,0.8,1
-0.9,-0.14,1
0.24,0.91,1
0.54,-0.32,-1
-0.92,0.05,1
0.06,-0.83,-1
0.33,-0.2,-1
0.08,-0.29,-1
0.52,0.44,1
-0.47,0.82,1
0.75,0.68,1
0.99,0.67,1
-0.85,0.08,1
0.1,0.95,1
-0.14,0.79,1
0.78,0.78,1
0.67,-0.01,1
0.82,0.64,1
-0.8,0.12,1
0.99,0.1,1
0.61,0.92,1
0.76,-0.12,1
0.81,-0.13,1
0.71,-0.5,1
-0.24,-0.48,-1
-0.16,-0.61,-1
-0.57,-0.61,-1
0.94,0.41,1
-0.16,-0.88,-1
0.55,-0.35,-1
0.02,0.87,1
-0.13,-0.6,-1
-0.78,-0.22,1
0.84,-0.21,1
-0.2,-0.85,-1
0.68,-0.99,-1
0.76,-0.7,-1
-0.52,-0.23,-1
0.21,-0.56,-1
0.88,-0.4,1
0.2,0.99,1
-0.06,-0.45,-1
-0.5,-0.85,-1
0.07,0.74,1
0.07,-0.61,-1
-0.51,0.84,1
-0.31,0.35,1
0.69,0.56,1
0.45,0.3,1
-0.34,-0.7,-1
0.62,0.18,1
-0.34,-0.36,-1
0.15,1,1
0.37,-0.19,1
0.26,0.71,1
0.4,-0.49,-1
-0.92,-0.99,-1
-0.54,0.57,1
0.1,0.4,1
-0.43,0.57,1
0.17,-0.67,-1
0.38,0.57,1
0.22,0.33,1
0.34,0.77,1
-0.5,0.62,1
-0.83,-0.63,-1
-0.55,-0.76,-1
0.93,-0.7,1
-0.49,0.11,1
0.02,0.64,1
-0.46,0.6,1
-0.1,0.17,1
-0.06,-0.44,-1
-0.97,0.84,1
-0.1,0.62,1
-0.49,-0.4,-1
-0.1,0.07,-1
-0.21,-0.62,-1
-0.76,0.03,1
0.28,-0.5,-1
0.12,-1,-1
0.84,0.34,1
-0.04,-0.59,-1
0.79,0.2,1
0.84,0.11,1
-0.71,0.83,1
-0.06,-0.91,-1
-0.29,0.17,1
-0.45,0.29,1
-0.14,-0.7,-1
0.44,0.64,1
-0.46,0.92,1
-0.9,0.18,1
-0.18,-0.55,-1
-0.46,-0.15,1
-0.36,0.58,1
0.27,0.02,-1
-0.04,0.38,1
0.62,-0.15,1
0.94,0.69,1
0.29,0.06,1
-0.37,0.84,1
0.32,0.68,1
0.97,0.68,1
0.31,0.2,1
-0.94,0.6,1
-0.06,0.3,1
0.55,-0.15,1
-0.58,-0.68,-1
0.02,0.03,1
-0.07,-0.66,-1
0.94,-0.84,-1
0.41,0.09,1
-0.86,-0.75,1
-0.57,-0.41,1
-0.22,-0.54,-1
