A,B,C
0.17,0.8,1
-0.1,-0.9,1
0.51,-0.3,-1
-0.9,0.03,1
-0.71,-0.43,-1
0.38,0.09,1
-0.76,-0.71,-1
-0.77,-0.35,1
0.18,-0.69,-1
-0.45,-0.61,1
0.49,-0.9,-1
0.11,-0.38,1
-0.22,-0.21,1
-0.69,0.55,-1
-0.78,0.57,1
-0.23,-0.21,1
-0.64,0.53,1
-0.44,-0.85,-1
-1,0.98,1
-0.46,0.99,1
-0.43,0.64,1
0.7,-0.72,1
-0.13,0.34,-1
-0.73,-0.7,-1
0.02,-0.48,1
0.52,0.01,1
0.23,-0.88,-1
-0.32,-0.72,-1
0.01,0.83,1
0.34,0.26,1
0.03,-0.72,1
0.89,0.81,1
-0.5,0.86,-1
-0.55,-0.27,1
0.81,0.8,1
0.19,-0.07,-1
-0.42,0.33,1
-0.81,-0.19,-1
-0.76,0.18,1
0.91,0.89,1
-0.78,0.44,1
-0.57,-0.45,1
-0.51,0.48,-1
-0.01,-0.18,1
0.82,0.01,-1
-0.66,-0.04,1
0.84,0.74,-1
0.51,-0.46,-1
0.05,-0.94,1
0.73,-0.32,1
0.22,-0.7,1
0.8,-0.94,1
0.18,-0.31,1
0.44,0.19,-1
0.27,-0.89,-1
-0.87,-0.93,-1
0.13,-0.61,1
-0.82,0.06,1
-0.41,-0.41,1
0.84,0.83,1
-0.33,0.45,1
0.03,0.97,1
0.95,0.08,-1
0.62,0.43,1
-0.61,0.09,1
-0.31,0.88,1
-0.78,0.64,1
0.22,-0.61,-1
-0.15,0.21,1
-0.86,-0.97,1
0.1,0.76,-1
-0.26,-0.48,1
-0.5,-0.78,1
-0.12,-0.76,-1
0.65,-0.27,-1
-0.72,0.85,1
-0.44,-0.58,1
-0.91,-0.77,1
0.05,-0.25,-1
-0.93,-0.31,1
-0.9,-0.08,1
-0.98,-0.98,-1
-0.25,-0.02,-1
0.38,-0.62,-1
-0.37,0.37,-1
0.33,-0.67,-1
0.65,-0.51,1
0.57,-0.92,1
0.58,-1,1
-0.81,-0.81,1
0.99,-0.84,1
0.82,-0.42,1
0.09,0.57,-1
-0.61,1,-1
0.68,-0.98,1
-0.19,-0.66,1
-0.15,0.12,-1
-0.78,-0.73,1
-0.65,0.33,1
-0.08,-0.77,-1
-0.79,0.84,1
0.46,0.34,-1
0.61,0.15,1
0.24,-0.62,-1
-0.87,0.86,1
-0.9,-0.03,1
0.59,0.92,1
0.12,-0.79,1
0.72,0.99,-1
0.52,-0.87,1
1,0.85,1
0.27,0.67,1
0.55,0.96,1
0.56,0.13,1
-0.67,0.17,1
0.28,-0.71,1
1,-0.37,1
0.42,-0.8,1
0.75,0.57,1
0.77,-0.58,1
0.65,0.87,-1
-0.42,-0.88,-1
0.78,0.31,1
-0.7,-0.81,1
0.04,0.5,1
0.69,0.19,-1
-0.09,-0.37,1
0.16,0.12,-1
-0.05,-0.04,-1
-0.51,0.23,-1
0.94,-0.58,-1
0.67,-0.31,1
0.05,-0.62,1
0.45,-0.09,1
0.66,-0.62,1
-0.98,0.85,1
-0.25,0.84,1
-0.24,0.52,-1
0.84,-0.55,-1
0.64,-0.92,1
-0.47,0.09,1
0.56,0.11,-1
0.46,0.94,1
-0.33,0.94,1
-0.04,-0.34,1
-0.21,-0.9,-1
0.36,-0.51,1
0.43,0.99,1
0.65,-0.72,1
-0.23,0.82,1
-0.91,-0.65,1
0.35,-0.46,-1
0.42,-0.57,1
0.85,0.32,1
-0.75,0.03,1
0.64,0.82,1
0.96,-0.24,1
0.13,0.5,1
-0.35,-0.27,1
0.28,-0.33,1
-0.06,0.08,1
0.16,0.5,1
-0.22,0.41,1
-0.86,0.55,1
0.85,-0.37,1
-0.34,0.6,1
0.87,0.84,-1
-0.22,-0.88,1
-0.59,0.15,-1
-0.06,0.32,1
-0.46,-0.02,1
-0.46,-0.52,1
0.84,0.7,1
0.63,0.05,1
0.18,0.81,-1
-0.05,-0.7,1
0.03,0.62,1
-0.5,0.26,1
-0.83,0.18,1
-0.3,-0.37,-1
0.75,0.73,1
0.71,0.39,-1
-0.42,0.81,1
-0.58,0.85,1
-0.32,-0.37,-1
-0.29,0.9,-1
-0.58,-0.94,1
0.37,-0.88,1
-0.79,0.84,-1
0,-0.85,-1
-0.22,0.56,-1
0.93,0.2,-1
0.02,-0.13,1
-0.97,-0.72,1
0.04,0.8,1
-0.7,-0.39,1
0.01,0.58,-1
0.89,-0.11,-1
-0.04,0.22,1
0.3,0.19,1
0.79,-0.92,-1
-0.37,0.36,1
-0.34,0.55,-1
-0.84,-0.57,1
-0.36,-0.07,-1
-0.03,0.01,1
-0.44,0.9,1
0.11,0.52,1
-0.33,0.56,1
-0.86,-0.88,1
-0.81,-0.66,-1
0.43,0.95,-1
-0.06,0.04,1
-0.67,-0.66,1
0.38,-0.9,-1
-0.21,0.62,1
0.05,-0.15,1
0.36,-0.59,-1
0.34,-0.55,1
0.32,-0.96,1
-0.08,-0.05,1
0.66,-0.51,1
0.08,0.28,1
-0.94,0.02,1
0.96,-0.22,-1
-0.17,0.64,1
-0.33,-0.63,1
-0.88,0.68,1
0.01,-0.55,1
-0.1,-0.43,-1
1,-0.84,1
-0.02,-0.94,-1
0.36,0.71,1
1,0.72,1
0.85,0,1
-0.83,-0.15,1
0.66,-0.57,1
-0.99,0.15,1
0.37,0.91,1
0.59,-0.99,1
0,-0.54,1
0.76,-0.16,-1
-0.62,0.91,-1
-0.58,-0.65,1
-0.66,-0.09,1
-0.06,0.09,1
-0.93,0.5,1
0.39,-0.2,1
0.96,-0.56,1
0.47,-0.35,1
-0.1,-0.88,-1
0.56,-0.72,1
0.51,-0.33,1
-0.1,-0.58,-1
1,-0.83,1
-0.14,0.16,-1
-0.56,0.78,-1
0.68,-0.59,-1
0.66,0.91,-1
-0.15,-0.55,1
-0.61,0.58,1
-0.6,-0.76,1
-0.86,0.22,1
-0.25,0.59,1
0.26,-0.24,1
0.63,-0.34,1
-0.26,0.89,-1
0.93,0.63,1
0.32,0.66,-1
0.03,-0.44,1
-0.55,0.57,-1
-0.71,-0.08,1
-0.07,-0.67,1
-0.35,0.77,-1
-0.15,0.01,1
0,-0.03,1
-0.23,0.77,1
-0.27,0.88,-1
-0.96,-0.64,1
-0.18,0.57,1
-0.8,0.8,-1
0.45,0.22,1
0.36,0.21,-1
-0.44,-0.12,1
0.53,0.13,1
-0.96,-0.22,-1
0.22,-0.54,1
-0.73,0.48,1
0.6,-0.56,-1
-0.77,0.01,1
0.55,-0.49,-1
-0.46,-0.5,-1
-0.72,0.6,1
-0.38,-0.97,1
-0.13,0.46,1
0.22,0.82,1
0.67,-0.87,1
-0.65,0.88,-1
0.64,0.39,-1
-0.81,-0.71,1
-0.78,0.1,1
-0.95,-0.34,-1
0.36,-0.57,1
0.46,-0.96,-1
0.04,0.27,1
0.02,0.11,1
0.68,-0.62,-1
-0.73,0.37,1
-0.52,0.16,-1
-0.85,0.91,-1
0.7,-0.01,1
-0.6,-0.7,1
-0.33,0.82,-1
0.97,0.93,1
-0.08,0.54,-1
-0.66,-0.73,-1
0.95,-0.09,1
-0.23,-0.67,1
0.13,-0.74,1
-0.96,-0.39,1
-0.89,-0.77,1
-0.28,0.1,-1
0.75,-0.05,-1
0.01,-0.8,1
0.67,0.76,1
-0.51,0.6,1
-0.86,-0.99,1
-0.03,-0.67,1
-0.38,0.88,1
-0.31,0.5,-1
-0.4,-0.81,1
-0.62,-0.8,1
-0.55,-0.72,1
0.44,-0.42,1
-0.48,-0.38,1
-0.08,0,1
0.77,-0.88,-1
0.64,-0.31,1
0.35,0.54,1
0.47,-0.96,1
0.05,0.03,1
0.37,-0.42,1
0.82,-0.85,-1
0.62,0.13,1
-0.87,0.73,1
-0.83,0.19,1
-0.03,-0.31,1
0.17,-0.78,1
-0.18,-0.01,1
0.35,0.28,1
-0.2,-0.43,-1
-0.65,0.69,-1
0.32,0.96,1
0.97,-0.52,-1
0.07,0.7,-1
0.46,-0.69,1
0.91,-0.89,1
-0.23,-0.21,1
0.5,0.88,1
0.18,0.79,1
0.27,0.5,1
0.77,0.14,-1
0.52,-0.65,1
0.31,0.36,1
-0.82,-0.23,1
-0.43,-0.36,1
-0.11,-0.51,-1
0.61,0.96,1
-0.79,0.78,1
0.63,-0.19,1
-0.71,0.23,1
0.09,0.52,-1
-0.9,-0.86,1
0.91,0.28,1
-0.18,0.49,-1
0.84,0.64,1
-0.9,0.56,1
0.65,-0.65,1
-1,0.69,1
0.3,-0.66,1
0.22,-0.2,-1
-0.76,-0.2,-1
-0.32,0.66,1
-0.5,0.76,1
0.53,-0.18,-1
0.06,0.82,1
-0.02,0.64,-1
0.72,-0.75,1
-0.49,0.07,-1
-0.43,0.26,-1
-0.79,0.43,1
0.86,0.51,1
0.81,0.45,-1
-0.14,0.09,1
0.28,-0.85,-1
0.82,0.47,-1
0.33,0.75,1
0.67,0.26,1
-0.67,-0.84,-1
0.96,0.59,1
0.35,-0.03,1
-0.84,0.08,1
-0.79,-0.27,-1
-0.56,-0.44,1
0.93,-0.95,1
-0.74,-0.67,-1
-0.79,0.56,1
0.93,-0.55,1
-0.83,-0.84,1
-0.26,-0.17,-1
-0.34,0.77,1
1,0.94,1
0.87,-0.52,1
-0.5,0.29,-1
-0.84,0,-1
-0.93,0.35,-1
-0.2,-0.59,1
-0.23,0.05,-1
-0.48,0.48,1
-0.1,0.69,1
0.96,-0.14,1
0.02,-0.79,-1
0.38,0.36,-1
-0.34,-0.69,-1
-0.56,0.26,1
0.27,-0.25,-1
-0.06,0.66,1
0.66,-0.19,-1
-0.83,-0.38,1
0.32,0.74,1
0.13,0.36,-1
-0.75,-0.14,-1
-0.79,0.61,-1
-0.4,-0.74,1
0.45,0.78,1
-0.53,0.2,-1
0.84,-0.64,1
-0.05,-0.18,-1
0.09,0.26,1
0.87,0.61,-1
